HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,HST,AS,AST,HC,AC,HY,HR,AY,AR,B365H,B365A,B365D,B365>2.5,B365<2.5,Date,Time,HomeTeamID,AwayTeamID,HomeGoalsLast3,GoalDiff,FTR_Encoded,DaysSinceHomeLast,DaysSinceAwayLast,B365H_Prob,B365D_Prob,B365A_Prob,AwayGoalsLast3,HomeAttackForm,HomeDefenceForm,AwayAttackForm,AwayDefenceForm,HomeNetForm,AwayNetForm
Brentford,Arsenal,2,0,H,8,3,22,4,2,5,0,0,0,0,4.0,1.95,3.4,2.1,1.72,2021-08-13,20:00,3,0,,2,1,0.0,0.0,0.25,0.29411764705882354,0.5128205128205129,,,,,,,
Burnley,Brighton,1,2,A,14,3,14,8,7,6,2,0,1,0,3.1,2.45,3.1,2.5,1.53,2021-08-14,15:00,5,4,,-1,-1,0.0,0.0,0.3225806451612903,0.3225806451612903,0.4081632653061224,,,,,,,
Chelsea,Crystal Palace,3,0,H,13,6,4,1,5,2,0,0,0,0,1.25,13.0,5.75,1.8,2.0,2021-08-14,15:00,6,7,,3,1,0.0,0.0,0.8,0.17391304347826086,0.07692307692307693,,,,,,,
Man United,Leeds,5,1,H,16,8,10,3,5,4,1,0,2,0,1.53,5.75,4.5,1.61,2.3,2021-08-14,12:30,16,11,,4,1,0.0,0.0,0.6535947712418301,0.2222222222222222,0.17391304347826086,,,,,,,
Norwich,Liverpool,0,3,A,14,3,19,8,3,11,1,0,1,0,9.0,1.3,5.75,1.53,2.5,2021-08-14,17:30,18,13,,-3,-1,0.0,0.0,0.1111111111111111,0.17391304347826086,0.7692307692307692,,,,,,,
Everton,Southampton,3,1,H,14,6,6,3,6,8,2,0,0,0,1.9,4.0,3.5,2.0,1.8,2021-08-14,15:00,8,21,,2,1,0.0,0.0,0.5263157894736842,0.2857142857142857,0.25,,,,,,,
Watford,Aston Villa,3,2,H,13,7,11,2,2,4,3,0,1,0,3.1,2.37,3.2,2.0,1.8,2021-08-14,15:00,24,1,,1,1,0.0,0.0,0.3225806451612903,0.3125,0.42194092827004215,,,,,,,
Leicester,Wolves,1,0,H,9,5,17,3,5,4,1,0,2,0,1.66,5.25,3.8,2.09,1.84,2021-08-14,15:00,12,26,,1,1,0.0,0.0,0.6024096385542169,0.2631578947368421,0.19047619047619047,,,,,,,
Tottenham,Man City,1,0,H,13,3,18,4,3,11,2,0,1,0,5.5,1.6,4.2,1.89,2.04,2021-08-15,16:30,23,15,,1,1,0.0,0.0,0.18181818181818182,0.23809523809523808,0.625,,,,,,,
Newcastle,West Ham,2,4,A,17,3,8,9,7,6,1,0,0,0,3.2,2.2,3.5,1.99,1.94,2021-08-15,14:00,17,25,,-2,-1,0.0,0.0,0.3125,0.2857142857142857,0.45454545454545453,,,,,,,
