iter	Passed	Remaining
0	137	68406
1	138	34397
2	138	23022
3	139	17271
4	139	13859
5	140	11594
6	141	9975
7	142	8754
8	143	7803
9	143	7049
10	144	6438
11	145	5927
12	146	5494
13	147	5127
14	148	4801
15	149	4518
16	150	4268
17	151	4046
18	152	3848
19	153	3672
20	154	3513
21	154	3365
22	155	3228
23	156	3106
24	157	2992
25	158	2887
26	159	2790
27	160	2699
28	160	2614
29	161	2537
30	163	2466
31	163	2396
32	164	2330
33	165	2267
34	166	2208
35	167	2153
36	167	2101
37	168	2051
38	169	2005
39	170	1960
40	171	1917
41	172	1877
42	173	1839
43	173	1802
44	174	1766
45	176	1738
46	177	1707
47	178	1677
48	179	1649
49	180	1622
50	181	1596
51	182	1572
52	183	1548
53	184	1525
54	185	1502
55	186	1481
56	187	1461
57	188	1440
58	191	1430
59	192	1412
60	193	1395
61	195	1379
62	196	1360
63	197	1342
64	198	1325
65	199	1309
66	200	1293
67	201	1277
68	202	1263
69	203	1248
70	204	1234
71	205	1221
72	206	1208
73	207	1197
74	209	1185
75	210	1173
76	211	1162
77	212	1151
78	213	1140
79	215	1129
80	216	1118
81	217	1107
82	218	1097
83	220	1092
84	221	1082
85	222	1072
86	223	1062
87	224	1052
88	225	1042
89	226	1033
90	227	1024
91	228	1015
92	229	1006
93	230	997
94	232	989
95	233	981
96	234	974
97	235	966
98	236	958
99	237	950
100	238	942
101	239	934
102	240	927
103	241	919
104	242	913
105	243	906
106	244	899
107	246	892
108	247	886
109	248	879
110	249	874
111	251	869
112	252	863
113	252	856
114	254	850
115	254	844
116	256	838
117	256	831
118	257	825
119	258	819
120	259	813
121	260	808
122	261	802
123	262	796
124	263	791
125	264	786
126	266	781
127	267	776
128	268	771
129	269	766
130	270	761
131	271	756
132	272	751
133	273	747
134	274	742
135	275	737
136	276	733
137	277	729
138	279	725
139	280	721
140	281	717
141	282	712
142	283	708
143	284	704
144	285	699
145	286	695
146	287	691
147	288	686
148	289	682
149	290	678
150	291	674
151	292	670
152	294	667
153	295	663
154	296	659
155	297	655
156	298	652
157	299	648
158	300	644
159	301	640
160	302	637
161	303	633
162	304	629
163	305	626
164	306	622
165	307	619
166	309	616
167	310	613
168	311	609
169	312	606
170	313	603
171	314	599
172	315	596
173	316	593
174	317	590
175	318	586
176	319	583
177	320	580
178	321	577
179	323	574
180	324	571
181	325	568
182	326	565
183	327	563
184	329	560
185	330	557
186	331	554
187	332	551
188	333	548
